	name	description	relationships
0	BinaryData	N/A	['StandardDataType', 'cct:BinaryObjectType', 'UnitOfMeasure']
1	BinaryObject	N/A	['BLOBDataType', 'cct:BinaryObjectType']
2	BLOBDataType	Different kinds of Binary Large Object (BLOB) data such as a Bitmapped Drawing or Image, Ferrographic Image, Thermographic Image, Digitized Video Clip, Document, etc.	[]
3	Coordinate	N/A	['cct:NumericType', 'cct:NumericType', 'cct:NumericType']
4	Measure	N/A	['cct:NumericType', 'UnitOfMeasure']
5	MultiParameter	N/A	['ValueContent']
6	Percentage	A Percentage is a way of expressing a number as a fraction of 100.	[]
7	Probability	A Probability is way of expressing a likelihood and is generally represented by numbers in the range 0 to 1.	[]
8	StandardDataType	N/A	[]
9	UTCDateTime	UTCDateTime is used for date and/or time representations as Coordinated Universal Time.	[]
10	UUID	A UUID is represented by 32 hexadecimal digits, displayed in five groups separated by hyphens, in the form `8-4-4-4-12` for a total of 36 characters (for example, 123e4567-e89b-12d3-a456-426655440000). See RFC 4122 - A Universally Unique IDentifier (UUID) URN Namespace.	[]
11	URI	N/A	[]
12	ValueContent	N/A	['BinaryData', 'BinaryObject', 'xs:boolean', 'Coordinate', 'EnumerationItem', 'Measure', 'MultiParameter', 'cct:NumericType', 'Percentage', 'Probability', 'cct:TextType', 'URI', 'UTCDateTime', 'UUID', 'XML']
13	XML	N/A	[]
14	Property	"
Sometimes it is necessary to exchange values that do not conform to the definition of allowable value for a Property. When set to 'false', this property flags that the value is known to *not* conform to the PropertyDefinition/PropertyType of the Property. If the Property does not have an associated definition or type, the value of this property makes no difference.
By default this property is 'true'.
							"	['PropertyType', 'PropertyDefinition', 'ValueContent', 'cct:NumericType', 'xs:boolean']
15	Attribute	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
16	PropertyType	N/A	['ValueClass', 'UOMQuantity', 'Enumeration', 'MultiParameterType']
17	AttributeType	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
18	BaseType	N/A	['PropertySetDefinitionForType', 'PropertySetDefinitionForType', 'LifecycleStatusKindForType']
19	CCOMClass	The relationship from a Taxonomy to CCOMClass associates a taxonomy with the class it represents. This aids in filtering taxonomies to a certain type and provides type constraints for taxonomies.	['PropertyDefinition', 'PropertyDefinition', 'Taxonomy', 'LifecycleStatusKindForType']
20	EffectiveStatus	"The status of an entity with respect to its effectivity.
It can be used for indicating when a record became/will become active or inactive."	['EffectiveStatusType', 'UTCDateTime']
21	EffectiveStatusType	N/A	[]
22	Entity	The base abstract class that all CCOM classes with identity are derived from.	['UUID', 'cct:IDType', 'InfoSource', 'UTCDateTime', 'Agent', 'UTCDateTime', 'Agent', 'EffectiveStatus', 'EffectiveStatusType', 'LifecycleStatusType', 'LifecycleStatusHistory', 'Property', 'Property', 'PropertySetForEntity', 'PropertySetForEntity']
23	Enumeration	N/A	['EnumerationItem']
24	EnumerationItem	N/A	['Enumeration']
25	Equivalency	N/A	['Entity', 'Entity', 'Probability']
26	InfoSource	A collection of data or information.	['InfoSourceType', 'Site', 'xs:anyURI']
27	InfoSourceType	N/A	[]
28	MultiParameterType	N/A	['PropertyDefinition', 'PropertyDefinition']
29	UnitOfMeasure	"To convert between units of measure, a multiplication factor from reference plus an offset scalar is provided in the attributes ConversionScale and ConversionOffset, respectively.
Y[target unit of measure] = (X[reference unit of measure] * ConversionScale) + ConversionOffset
Y[reference unit of measure] = (X[target unit of measure] - ConversionOffset) / ConversionScale"	['cct:NumericType', 'cct:NumericType', 'UOMQuantity']
30	UOMQuantity	N/A	['UnitOfMeasure', 'UnitOfMeasure']
31	PropertyDefinition	The maximum occurrence is unbounded to support default MultiParameter values.	['PropertyType', 'xs:boolean', 'ValueContent', 'cct:NumericType']
32	AttributeDefinition	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
33	PropertyGroup	Properties that comprise the PropertySet rather than Properties of the Group (e.g. Group metadata).	['PropertyGroupDefinition', 'cct:NumericType', 'PropertyGroup', 'Property', 'Property']
34	AttributeGroup	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
35	PropertyGroupDefinition	The inclusive minimum number of times an PropertyGroup of this definition must appear in an instance of a PropertySet.	['xs:nonNegativeInteger', 'cct:NumericType', 'PropertyGroupDefinition', 'PropertyDefinition', 'PropertyDefinition']
36	AttributeGroupDefinition	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
37	PropertySet	A collection of an identified, grouped set of propertiess. PropertySets are used to represent data sheets.	['PropertySetType', 'PropertySetDefinition', 'Property', 'Property', 'PropertyGroup']
38	AttributeSet	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
39	PropertySetDefinition	The definition of an PropertySet, which can serve as a prototype (template) for a new PropertySet, or serve to assess structural conformance (e.g. correct groups and properties) of an PropertySet to its definition.	['PropertySetType', 'PropertySetDefinition', 'PropertySetDefinition', 'PropertyDefinition', 'PropertyDefinition', 'PropertyGroupDefinition', 'PropertySetDefinitionForModel', 'PropertySetDefinitionForModel', 'PropertySetDefinitionForType', 'PropertySetDefinitionForType']
40	AttributeSetDefinition	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
41	PropertySetType	N/A	[]
42	AttributeSetType	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
43	PropertySetDefinitionForType	N/A	['PropertySetDefinition', 'PropertySetDefinition', 'BaseType']
44	AttributeSetDefinitionForType	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
45	PropertySetDefinitionForModel	N/A	['PropertySetDefinition', 'PropertySetDefinition', 'Model']
46	AttributeSetDefinitionForModel	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
47	PropertySetForEntity	N/A	['PropertySet', 'PropertySet', 'Entity']
48	AttributeSetForEntity	Deprecated. Still defined for backwards/forwards compatibility. Will be removed in next major release.	[]
49	Asset	"A tangible, instantiated, serialized object. An Asset may be an entire facility, an entire functioning platform (such as an CH-47 Tail Number XYZ helicopter), or a component piece of equipment, such as a specific instance of a bearing. An Asset can be tracked over time and installed in a Segment. It may then be removed from the Segment and re-installed in a different Segment.
Note: ShortName is the user identification tag which follows the nomenclature of the plant. This is normally an abbreviation or user-defined alpha-numeric code from which the plant derives meaning."	['AssetType', 'Site', 'Manufacturer', 'Model', 'LifecycleStatusHistory', 'LifecycleStatusType', 'AssetModelEvent', 'cct:IDType', 'AssetComponent', 'AssetComponent', 'Criticality', 'ReadinessType', 'PurchaseConditionType', 'AssetSegmentEvent', 'AssetOwnerEvent', 'AgentRoleWithAsset', 'MeasurementLocation', 'NetworkForAsset', 'AssetConnection', 'AssetConnection', 'Function', 'EngineeringStudyEntryForAsset', 'OrderedListForAsset', 'ActualEvent', 'HypotheticalEvent', 'ProposedEvent', 'AmbiguitySet', 'HealthAssessment', 'RemainingLifeAssessment', 'Recommendation', 'SolutionPackage', 'SolutionPackageStep', 'RequestForWork', 'CalendaredWork']
50	AssetComponent	A breakdown of assets into sub-asset components (child assets), to form serialized component part breakdown trees.	['Asset', 'Asset', 'cct:NumericType']
51	AssetType	"Note: This is considered the ""inverse"" of the Event source association."	['MaterialMasterItem', 'Function', 'EngineeringStudyEntryForAssetType', 'HypotheticalEvent', 'Recommendation', 'SolutionPackage', 'SolutionPackageStep']
52	Criticality	N/A	['CriticalityScaleType', 'cct:NumericType']
